order_id,customer_id,order_total,order_status,payment_method,shipping_address,created_at,updated_at
5ae6b28f-4d3e-40f7-bab5-b37c8c347c28,516ff896-a829-4f6c-816a-400b55099dab,745.27,delivered,credit_card,"797 Rhonda Hill Apt. 566
Marissaland, VI 89839",2024-08-21 15:13:18,2024-08-29 15:13:18
45a7bd71-fd1c-4e5a-b454-01b6077283df,4ae74656-01a5-4078-87d2-f1e67a63f029,734.43,shipped,paypal,"32685 Hernandez Junction
New Jefferyton, IL 73516",2024-07-23 13:48:28,2024-08-03 13:48:28
7a7ee0a0-7234-4e96-abcd-38247ba51d04,908ff84b-4419-4e8f-a4e8-44b6c35876b6,988.45,pending,paypal,"73579 Martinez Haven Suite 796
South Sharon, VA 95533",2025-03-15 06:02:32,2025-03-26 06:02:32
a04d8292-fe88-41a6-b793-0f36be1fd6eb,8863067f-f0c3-432e-be64-5dc9576ab041,714.12,delivered,cash_on_delivery,"37151 Mendoza Shores Apt. 965
Port Scottside, AR 45301",2025-01-25 11:02:13,2025-02-06 11:02:13
bc43c496-90aa-4eea-b5fb-730cfedf1258,a5f0e298-6c29-483e-9939-a16a999adedb,680.62,shipped,paypal,"4187 Joel Dale Suite 672
Rayton, SD 01496",2025-02-18 19:49:22,2025-03-05 19:49:22
96674cb3-1407-4a83-8045-40ba289e19a8,34c0c1b1-c126-47ee-98d7-d37f09c06613,999.12,shipped,credit_card,"33393 Derek Lakes Suite 654
Oliverchester, VA 01347",2024-11-30 14:02:16,2024-12-09 14:02:16
8cffc937-d153-4cb0-99bc-f0e8232263db,df0e1ef5-eaa6-4c15-97d1-5d3cad127262,763.94,delivered,credit_card,"749 Christopher Landing Suite 422
Krausechester, MT 47052",2024-12-14 01:44:14,2025-01-01 01:44:14
397924d6-6263-4ba9-92c5-155a16372f7b,867788b7-c2ad-49cb-acd4-b756b29a3582,262.95,pending,cash_on_delivery,"Unit 4719 Box 6582
DPO AE 63315",2024-09-17 07:15:35,2024-09-30 07:15:35
fcf513c1-ee05-455e-8e10-c2383f8ab70c,05d6630f-a9a0-4447-b814-05e1bd9448ed,783.65,shipped,credit_card,"965 Ramos Port Apt. 615
South Pamela, AS 92402",2024-09-10 02:32:45,2024-09-11 02:32:45
84941dd1-c04a-4bfd-b6d0-13490fb3671a,b664c17b-e5af-467a-ace5-92e9a8debb15,881.78,shipped,credit_card,"219 Stark Fork Apt. 515
New Kylieport, DC 95696",2025-01-08 05:55:55,2025-01-28 05:55:55
fa0556e6-61d8-479b-a4eb-f5a68b1d2fac,9ded9359-6cc4-4bb3-8d99-51224f3213fa,962.73,shipped,credit_card,"9901 Sean Run Apt. 138
Barnesfort, OR 79110",2025-03-07 06:19:32,2025-03-26 06:19:32
b6a1775c-c723-42ab-b905-6bfc8a2ff9b0,088357d0-58bb-44ca-abd7-4338d2268217,275.98,delivered,paypal,"809 Jonathan Via Apt. 166
New Stephanieberg, NC 64300",2024-07-11 12:01:19,2024-07-16 12:01:19
fa605649-bc78-4087-bd75-4c9535f42e81,4ae74656-01a5-4078-87d2-f1e67a63f029,534.58,delivered,cash_on_delivery,"402 Spencer Groves Apt. 644
Yeseniaburgh, OH 70684",2024-10-04 15:31:56,2024-10-25 15:31:56
b07861f2-69e1-4fa5-97c1-34fbdd78cafe,74e0a9cd-999f-40ad-a901-78c5a1ae82c3,745.53,pending,credit_card,"Unit 5268 Box 0843
DPO AE 18430",2024-10-03 15:38:59,2024-10-12 15:38:59
3aa8a518-4b46-42d0-8718-60f884c62893,41d179c4-82a1-4a7c-b4b1-4ad0c1917ee3,493.38,pending,cash_on_delivery,"8649 English Prairie Suite 108
Flemingland, AZ 23534",2024-10-26 05:53:19,2024-11-02 05:53:19
c782cd37-88bc-4e69-ae87-3f360cd8f1fa,e993b346-5cb9-4bfa-9f00-b01e7ead7c7a,641.75,shipped,debit_card,"25679 Conway Shoal Apt. 062
Kathrynland, WY 25733",2025-01-20 22:26:45,2025-01-31 22:26:45
057b323e-f4dd-4bfc-aa53-8f2e0d6edfe0,28173560-ac8d-4512-9a31-20778fdeba7e,158.24,pending,cash_on_delivery,"069 Flores Springs
Port Jenniferland, WA 12823",2024-09-08 23:18:25,2024-09-16 23:18:25
008a0d33-9af5-4bdf-9e52-79d547f41d25,cc30ce93-6914-428f-8f90-c26ccbcc0007,970.36,pending,paypal,"PSC 3401, Box 1735
APO AE 00719",2024-11-20 15:45:46,2024-12-02 15:45:46
1c9b1080-ebe0-4d28-8504-00f389a9ef7a,dd0f3b9b-4493-47c8-a001-3b5c5eaf3963,172.61,pending,debit_card,"27866 Michael Walk
New Nicolasside, SC 97645",2024-07-17 10:03:03,2024-08-15 10:03:03
1a4f835a-929b-4ba0-b9bc-b6cdbafaa98f,7f8d36d6-6bf3-4562-9156-4dcc10ab0ff2,729.19,shipped,credit_card,"Unit 1050 Box 9589
DPO AA 03335",2024-08-24 07:42:20,2024-09-13 07:42:20
df5b086c-20b8-408f-82e5-872ae14e48bd,e875798e-cde7-4030-b56e-127980e64d2b,674.01,delivered,paypal,"4800 Richard Point Apt. 715
New Mariaborough, AK 61914",2024-07-30 01:46:56,2024-08-02 01:46:56
f61dc0ae-740f-4939-88e1-4a3a4f3879ad,30b56096-bf26-4d9d-ac7c-bddc8f533426,528.5,delivered,credit_card,"01488 Oneal Cliffs Apt. 187
New Teresa, WA 56887",2024-10-02 21:17:59,2024-10-30 21:17:59
76786dcf-35ce-4d8f-b8d7-0e03923803fc,8d879329-b199-4280-a6e0-396f9e3eb1f7,542.11,shipped,paypal,"4231 Grant Hills Apt. 732
North Earlfurt, OH 96660",2025-02-20 00:23:05,2025-03-09 00:23:05
beee1305-411a-41ed-91a1-124842f9789b,0538c9c5-b63b-401d-980c-badd8496f7f5,645.95,delivered,debit_card,"381 Joshua Parkway
Port Tracyburgh, NJ 51984",2024-06-30 23:32:36,2024-07-05 23:32:36
13389ca8-11e7-4a03-8e73-65c7b8bfbbdc,33577d63-da6a-4637-b327-77992f66639f,296.75,shipped,credit_card,"15705 Barker Corners
Port Jennifer, MO 99015",2025-02-25 18:14:23,2025-03-13 18:14:23
119c0867-5405-4a5f-930b-cbd6fedb2197,a604b6cc-185c-4912-938c-26f49b832822,998.55,shipped,credit_card,"5317 Ramirez Vista
South Christianport, IL 91582",2025-05-08 11:56:54,2025-05-17 11:56:54
7365ed71-1d75-447b-80bd-9d76e95d3f67,74e0a9cd-999f-40ad-a901-78c5a1ae82c3,112.4,shipped,debit_card,"712 Jennifer Inlet Suite 835
South Ann, AZ 77046",2024-08-28 01:55:38,2024-09-03 01:55:38
2da2256e-4b06-45e7-ad67-0016d7abbe4c,7bb94882-02c6-4245-9399-d68159043706,430.6,pending,cash_on_delivery,"78618 Henry Locks Suite 050
North Nancyburgh, OH 35136",2025-03-04 07:33:57,2025-03-18 07:33:57
d646caf2-ed07-4baa-9d84-a23b96d4ca3c,05d58d16-c905-4aad-8bb0-e876002ce313,94.26,shipped,debit_card,"PSC 7869, Box 1326
APO AE 42903",2024-09-29 16:38:08,2024-10-03 16:38:08
19c55c06-78e1-4545-aa69-c348340f13b4,8d879329-b199-4280-a6e0-396f9e3eb1f7,380.93,delivered,cash_on_delivery,"3394 Thompson Station Apt. 777
East Kyleport, AS 72418",2024-10-19 22:52:57,2024-11-11 22:52:57
175cb5f9-e051-4f8f-bd4d-87fec0066ad6,e6388275-0f1f-42bf-8ad6-4cdb1a9739ff,402.75,shipped,paypal,"040 Rosales Fords
New Daniel, WV 82067",2024-10-07 08:48:51,2024-10-15 08:48:51
fc309eb7-bac8-4164-820b-d63892736c67,ec7b2ed0-ba73-473d-9e3c-6d78af50b4db,416.07,shipped,paypal,"68490 Duran Mount
Booneland, MA 31843",2025-01-24 15:44:39,2025-02-05 15:44:39
2da19df6-fc87-44bc-b1bf-6ef02f687196,625ca463-ae21-4f72-9fba-a41adbaafd0f,604.48,pending,paypal,"857 Kyle Center Suite 471
North Raymondbury, CA 58207",2024-10-22 08:18:04,2024-11-19 08:18:04
d3144a39-8538-4c09-a343-5ab062537362,71feb85e-539f-431f-915c-ebbce47aa8d2,702.43,delivered,paypal,"32119 Vargas Creek Apt. 169
Lake Nicholas, HI 72992",2025-05-05 20:43:30,2025-05-12 20:43:30
f953ec07-4aec-48ee-b0de-fe54bac62b91,fc49a18d-3577-4999-9e9f-eb98191d84a4,68.57,shipped,paypal,"4037 Shane Glen
Angelaberg, UT 45075",2024-06-29 18:18:40,2024-06-30 18:18:40
90ee0a96-4c2d-4702-b22b-3700cb74a7c5,5ac43668-add9-4a80-83ee-e01e893284a5,523.05,delivered,credit_card,"016 James Union
Madisonmouth, TN 45561",2025-02-26 17:19:48,2025-03-20 17:19:48
dbf2a368-6249-4cfa-9266-653077e9d8e8,97d3bbab-1646-4131-aff1-3aaf9adb47c2,496.04,shipped,debit_card,"Unit 3465 Box 3429
DPO AP 20001",2024-12-11 15:12:36,2024-12-16 15:12:36
fe9e6baf-678b-4628-b574-e65c561d9e7c,e541074f-a44e-4817-ac77-fb8582ba0cdd,104.34,delivered,paypal,"25644 Sanchez Plains Apt. 744
Thomastown, MS 96145",2024-10-13 23:18:47,2024-10-27 23:18:47
6806a50d-d781-461d-b907-a5f984425adf,99a772de-4307-438a-95c5-08e5a0612ae3,314.12,shipped,paypal,"286 Christopher Throughway
Williamsontown, KS 55187",2024-07-31 17:16:26,2024-08-08 17:16:26
a27563ee-14e3-43dc-8240-5d3e43638a5d,e628a28a-b85b-48ec-9ce6-2dbd388d3410,380.93,delivered,cash_on_delivery,"56717 Whitaker Mountain
Harrisshire, PW 81818",2024-06-11 12:03:05,2024-07-08 12:03:05
